"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000025328",10.5386070242268,-3.90827507127277,3.25328667081047,0.000337168475827221,0.00232580846263978,"Padi3"
"ENSMUSG00000090451",95.0976985029079,-1.13870460844205,0.53061334267836,0.000338869707522606,0.00233369109663487,"Gm6133"
"ENSMUSG00000025481",12.5851420933874,-3.94649115739737,3.35139139481937,0.000343379106409927,0.00235988420416757,"Urah"
"ENSMUSG00000029735",91.8640282945638,-1.2911896650477,0.683930512307846,0.000359087587471635,0.00245678341645652,"Tpk1"
"ENSMUSG00000027220",27.2306776470073,-2.26345747161835,1.70226875345132,0.000360260636993934,0.00246180502213435,"Syt13"
"ENSMUSG00000081683",9.04763930652795,-3.82545866510813,3.24861115575784,0.000360271334458575,0.00246180502213435,"Fzd10"
"ENSMUSG00000055415",13.4248922845742,-2.60671019128885,2.01512010199097,0.000365092739257094,0.00248966138063773,"Atp10b"
"ENSMUSG00000026959",26.9344142448844,-1.51064254063528,0.936950073462631,0.000370979803153615,0.00252122213441347,"Grin1"
"ENSMUSG00000025927",21.2490731945431,-2.31312361393042,1.82007690983713,0.000416376563607994,0.00278150195209593,"Tfap2b"
"ENSMUSG00000038020",42.0049376347951,-1.94726693416983,1.46478384673059,0.000422217928787036,0.00281827095117672,"Rapgefl1"
"ENSMUSG00000003309",17.4223053023205,-3.5648908051511,3.14633767837432,0.000425615511904527,0.00283981543551787,"Ap1m2"
"ENSMUSG00000049882",17.8704954909298,-3.12603512787213,2.61350251409869,0.000425977717929612,0.00284004138263272,"Vcpkmt"
"ENSMUSG00000006345",48.9163808940818,-1.52765525566934,0.997317858938546,0.000427431406725461,0.00284852014832909,"Ggt1"
"ENSMUSG00000024234",429.476627057475,-1.09975117655273,0.523976395009388,0.000438331286236898,0.00291302947044275,"Mtpap"
"ENSMUSG00000025001",286.273166686657,-1.03005307645412,0.464509045781359,0.000440026160280914,0.00292196950454318,"Hells"
"ENSMUSG00000035020",9.85474436423856,-3.36971717391847,2.94243019641426,0.000445154781355293,0.00294899604263669,"Epgn"
"ENSMUSG00000021287",148.011160162991,-1.02664561491248,0.464419486926506,0.000453902043470637,0.00299625543229393,"Xrcc3"
"ENSMUSG00000102422",79.9561720919517,-1.37624365381465,0.83736541860866,0.000468851770553983,0.00307913103852231,"SCHIP1"
"ENSMUSG00000038193",20.9395050419135,-1.56268767187348,1.07108734087783,0.000471614517349856,0.00309278944647081,"Hand2"
"ENSMUSG00000041954",56.1639062870549,-1.16128034104751,0.592287785695428,0.000472587192573571,0.00309757738693124,"Tnfrsf18"
"ENSMUSG00000030707",52.0156182246329,-2.60338395435772,2.205562989711,0.000494265772475962,0.0032133482487682,"Coro1a"
"ENSMUSG00000032278",36.227583481101,-1.25736940941492,0.708921904225572,0.000503525494235031,0.0032607226310129,"Paqr5"
"ENSMUSG00000046593",8.05161282171047,-3.43187077545565,3.25135423252682,0.000504847522827004,0.00326675241832386,"Tmem215"
"ENSMUSG00000064294",17.3605624384085,-2.19451747333148,1.82222892371076,0.000520380928373649,0.00334911314471974,"Aox3"
"ENSMUSG00000028786",17.2628855588787,-1.77610488518674,1.40641771773723,0.000573514413935134,0.00363370732164967,"Tmem54"
"ENSMUSG00000025150",81.3946306067667,-1.11404076552883,0.586954451930762,0.000640407698083556,0.00397614200065697,"Cbr2"
"ENSMUSG00000006411",24.4699764201269,-1.72856569215536,1.4000338921308,0.000643045996381869,0.00398807821281134,"Pvrl4"
"ENSMUSG00000031554",21.9016749577417,-1.86646587493367,1.58915162855993,0.000668833071406055,0.00412961801089058,"Adam5"
"ENSMUSG00000028238",22.5918389248331,-2.65558021266366,2.52552110141203,0.000675499562684218,0.00415695864900737,"Atp6v0d2"
"ENSMUSG00000039813",66.7993774637832,-1.09064075250595,0.574186262672604,0.000697999267078989,0.00426783244489532,"Tbc1d2"
"ENSMUSG00000036151",13.4123273095893,-2.17558431781948,2.00239041389976,0.00072195600547285,0.00438154418136282,"Tm6sf2"
"ENSMUSG00000068252",12.6140879395919,-3.01343855500466,3.34143700032579,0.000748165663067177,0.00450300356229917,"Apol7b"
"ENSMUSG00000010342",45.5217336133816,-1.31909595067624,0.902031751946909,0.000766173192764129,0.00459319180195827,"Tex14"
"ENSMUSG00000040055",66.1012379349643,-1.35476313786142,0.974568574877755,0.000807310228300206,0.0048002074549305,"Gjb6"
"ENSMUSG00000035498",23.3421725380934,-2.49609491548801,2.50862069139936,0.000815285650723652,0.00484108016804329,"Cdcp1"
"ENSMUSG00000058447",20.1715319400238,-2.67118120164073,2.77836656811664,0.000820119768686811,0.0048642589829068,"Gm26920"
"ENSMUSG00000044641",45.4608098937423,-1.17437627607053,0.709608868280677,0.000821617880182468,0.00487141583872642,"Pard6b"
"ENSMUSG00000032845",69.6468780533178,-1.07760865199962,0.586064231354785,0.000828157300920874,0.00489975969118283,"Alpk2"
"ENSMUSG00000040429",28.9488110285317,-1.36912664519597,1.01111431261584,0.00083847909205316,0.00494681946508172,"Mterf1a"
"ENSMUSG00000019808",47.7539965214864,-1.03582209918574,0.544191555349376,0.000861365607679953,0.00505685450184852,"Adat2"
"ENSMUSG00000037279",6.48928297681677,-2.76163261229622,3.04436661205989,0.000863050920468056,0.00506319167592246,"Ovol2"
"ENSMUSG00000004552",20.5339539238174,-2.6598833976875,2.90127077331668,0.000895965429424774,0.00521056582721144,"Ctse"
"ENSMUSG00000031380",37.9900079001535,-1.11087094070212,0.646474927100355,0.000914960702177539,0.00530626411387765,"Figf"
"ENSMUSG00000068101",156.283976743906,-1.15872344985672,0.718363834862226,0.00093194785096433,0.00538795447285292,"Cenpm"
"ENSMUSG00000022546",18.3506506100474,-2.57575558212229,2.88684192742259,0.000974843949911469,0.00560569959330174,"Gpt"
"ENSMUSG00000026018",32.0629289933873,-1.1318570540354,0.69289640957723,0.000985848927395802,0.00565459127401971,"Ica1l"
"ENSMUSG00000067786",96.731187235239,-1.00233489397576,0.530517705602369,0.00101907213325129,0.00582117964291255,"Nnat"
"ENSMUSG00000024989",128.681234906844,-2.53680018209194,3.0099640023201,0.00107154431092323,0.00607729610206001,"Cep55"
"ENSMUSG00000024873",28.3061767267491,-1.24048023998065,0.898550338809559,0.00108172890598676,0.00612674243804223,"Cnih2"
"ENSMUSG00000070691",10.2299869828004,-2.44547910345695,2.82198552422959,0.00109152488746296,0.00617264948749201,"Runx3"
"ENSMUSG00000006777",10.9853697006348,-2.48877467397018,2.99707340628312,0.00112150982351133,0.00631993094746068,"Krt23"
"ENSMUSG00000021118",31.4551497696046,-1.20013501942439,0.862410205560413,0.00118552773405303,0.00662041782390993,"Plek2"
"ENSMUSG00000066704",7.65393416980643,-2.43549845375446,3.13849826290711,0.00121905030839011,0.00677251810492867,"Cyp2b19"
"ENSMUSG00000001865",17.3901701178901,-2.40956955305226,3.05185300551724,0.00123397533569286,0.0068384163663032,"Cpa3"
"ENSMUSG00000058260",9.13693823372973,-1.61697970468076,1.62285640997596,0.00128274553246495,0.00707818053140283,"Serpina9"
"ENSMUSG00000015112",45.3678411285698,-1.0947883280865,0.712769590554577,0.00131909907742564,0.00725721592498095,"Slc25a13"
"ENSMUSG00000001247",73.3341428145332,-1.14731425690167,0.807773168098572,0.00132507124317801,0.00728449127601353,"Lsr"
"ENSMUSG00000026725",101.227741887239,-1.07335419299105,0.678466649263994,0.00132536424376912,0.00728449127601353,"Tnn"
"ENSMUSG00000020090",32.4018933661174,-1.06794362505714,0.678598373785481,0.00137023169307572,0.00749167566832439,"Npffr1"
"ENSMUSG00000072692",21.8593883178349,-1.25956970401719,1.07308290994257,0.00147034522931157,0.00795061474044436,"Rpl37rt"
"ENSMUSG00000033458",17.4388415919556,-2.10326940942969,2.68685118277243,0.00154421697966294,0.00825267384867429,"Fan1"
"ENSMUSG00000094005",9.27128088572122,-1.94094482520684,2.32906995346465,0.00154496927560738,0.00825267384867429,"Gm12625"
"ENSMUSG00000095680",9.27128088572122,-1.94094482520684,2.32906995346465,0.00154496927560739,0.00825267384867429,"Gm12627"
"ENSMUSG00000096363",9.27128088572122,-1.94094482520684,2.32906995346465,0.00154496927560738,0.00825267384867429,"Gm12621"
"ENSMUSG00000027360",38.7945427041283,-1.25707463951578,1.10442860374357,0.00157290225017447,0.00838847741206642,"Hdc"
"ENSMUSG00000058173",6.58205636377833,-2.10728937128109,2.77834070919153,0.00159441028595666,0.00848772242354582,"Smco4"
"ENSMUSG00000054889",45.9360718616701,-1.12796539515838,0.851212769663798,0.00162270736777452,0.00861287105270986,"Dsp"
"ENSMUSG00000043165",11.9455775741361,-1.38530400746061,1.39114830376857,0.00166597237177014,0.00878947671141607,"Lor"
"ENSMUSG00000005583",232.879792886014,-1.43896063670733,1.49734267902156,0.00167855513537717,0.00883986033730337,"Mef2c"
"ENSMUSG00000045349",12.2380558468957,-1.79689423457321,2.21556575821798,0.00178077695899673,0.00927434305297578,"Sh2d5"
"ENSMUSG00000008601",15.8286264580806,-1.44895401028078,1.56939065323318,0.0018083677080854,0.00938374972770549,"Rab25"
"ENSMUSG00000022123",9.933180278301,-1.95671766269131,2.68685457893064,0.00186009712080913,0.00960743611780094,"Scel"
"ENSMUSG00000079278",32.0261818992654,-1.61923941908842,1.92352481155633,0.0018775310284198,0.0096885006511295,"Tmem233"
"ENSMUSG00000025665",47.3889938577409,-1.15125471417603,0.980259926392816,0.00189615660319948,0.00975750045131652,"Rps6ka6"
"ENSMUSG00000044201",88.2485391656872,-1.07404266747277,0.810257081699009,0.0019236842593165,0.00988697992319067,"Cdc25c"
