V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
GO:0030261,GO:0007185,GO:0031032,GO:0001702,GO:0048268,NA,NA,GO:0106030,NA,NA,NA
GO:0030203,GO:0001844,GO:0048522,GO:0051956,GO:0070266,NA,NA,GO:0044783,NA,NA,NA
GO:0030879,GO:0045617,GO:0046464,GO:0048247,GO:0048261,NA,NA,GO:0015936,NA,NA,NA
GO:0009966,GO:0006705,GO:0048844,GO:1902531,GO:0002460,NA,NA,GO:0060563,NA,NA,NA
GO:0040013,GO:0045955,GO:0060070,GO:0008284,GO:0000132,NA,NA,GO:0007043,NA,NA,NA
GO:1904705,GO:0072498,GO:0007052,GO:0071822,GO:0090266,NA,NA,GO:0051336,NA,NA,NA
GO:0040019,GO:0006734,GO:0016050,GO:0051216,GO:0001818,NA,NA,GO:0031348,NA,NA,NA
GO:0015807,GO:0033604,GO:0051897,NA,GO:0036066,NA,NA,GO:0050687,NA,NA,NA
GO:0051302,GO:0044058,GO:0003091,NA,GO:0010955,NA,NA,GO:0035330,NA,NA,NA
GO:1903829,GO:1902043,GO:0045214,NA,GO:0034142,NA,NA,GO:0002886,NA,NA,NA
GO:0010498,GO:0032471,GO:0010524,NA,GO:0046599,NA,NA,GO:0031581,NA,NA,NA
GO:0090200,GO:2000370,GO:0090382,NA,GO:0061912,NA,NA,GO:0060259,NA,NA,NA
GO:0043086,GO:0051549,GO:0008543,NA,GO:1903392,NA,NA,GO:0002011,NA,NA,NA
GO:0006816,GO:2000178,GO:0010628,NA,GO:0010758,NA,NA,GO:0048048,NA,NA,NA
GO:0043065,GO:1901098,GO:0051592,NA,GO:0042346,NA,NA,GO:0007044,NA,NA,NA
GO:0043154,GO:0046877,GO:0043200,NA,GO:0031573,NA,NA,GO:0048854,NA,NA,NA
GO:0032456,GO:0031622,GO:0060548,NA,GO:0050995,NA,NA,GO:0098911,NA,NA,NA
GO:0031111,GO:0032364,GO:0060236,NA,GO:0071459,NA,NA,GO:0021510,NA,NA,NA
GO:0010594,GO:0035376,GO:0014032,NA,GO:1904037,NA,NA,GO:0061053,NA,NA,NA
GO:0010595,GO:0060272,GO:0006936,NA,GO:0031663,NA,NA,GO:0045597,NA,NA,NA
GO:0051093,GO:0008643,GO:1902533,NA,GO:0044728,NA,NA,GO:0003073,NA,NA,NA
GO:0010647,GO:0061081,GO:0034508,NA,GO:0002698,NA,NA,GO:0007413,NA,NA,NA
GO:0002062,GO:0070508,GO:0046651,NA,GO:0006305,NA,NA,GO:0046883,NA,NA,NA
GO:0050690,GO:0003007,GO:0090407,NA,GO:0098840,NA,NA,GO:0046850,NA,NA,NA
GO:2001257,GO:0043507,GO:0070374,NA,GO:1903426,NA,NA,GO:0039694,NA,NA,NA
GO:0051241,GO:0042060,NA,NA,GO:0032647,NA,NA,NA,NA,NA,NA
GO:0030199,GO:0045595,NA,NA,GO:0097300,NA,NA,NA,NA,NA,NA
GO:0060538,GO:0046942,NA,NA,GO:0000187,NA,NA,NA,NA,NA,NA
GO:0045995,GO:0045778,NA,NA,GO:0016482,NA,NA,NA,NA,NA,NA
GO:0014706,GO:1903532,NA,NA,GO:0051055,NA,NA,NA,NA,NA,NA
GO:0006352,GO:0060828,NA,NA,GO:0034375,NA,NA,NA,NA,NA,NA
GO:0000086,GO:0017158,NA,NA,GO:0043567,NA,NA,NA,NA,NA,NA
GO:0042113,GO:0051091,NA,NA,GO:0071173,NA,NA,NA,NA,NA,NA
GO:0060070,GO:0030241,NA,NA,GO:0007094,NA,NA,NA,NA,NA,NA
GO:0044839,GO:0034333,NA,NA,GO:0071174,NA,NA,NA,NA,NA,NA
GO:0090049,GO:0043568,NA,NA,GO:0050994,NA,NA,NA,NA,NA,NA
GO:0006022,GO:0010838,NA,NA,GO:0042116,NA,NA,NA,NA,NA,NA
GO:0014065,GO:0032366,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0140014,GO:0060054,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0006468,GO:0006570,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0048732,GO:2000394,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0019933,GO:0042363,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0031347,GO:0060019,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0032446,GO:0048251,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0043068,GO:0010890,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0043537,GO:0090037,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0048705,GO:0045605,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0046330,GO:2000427,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:2001235,GO:0006560,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0070555,GO:0060558,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0019221,GO:0045073,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0051495,GO:0033483,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0045582,GO:0031659,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0000819,GO:0060340,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0070206,GO:2000095,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0019935,GO:0048387,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0006026,GO:0033629,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0018108,GO:0007520,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0031145,GO:0000904,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0045580,GO:1902531,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0032870,GO:0051092,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0060348,GO:0030334,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0010720,GO:0030335,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:1901652,GO:0043009,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0043388,GO:0051222,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0006511,GO:0051204,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0080090,GO:0044030,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0000070,GO:0035272,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0030177,GO:0060973,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0098662,GO:0051418,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:1901701,GO:0015791,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:1902905,GO:1904322,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:1902749,GO:0046189,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0042692,GO:1990000,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0051147,GO:0010893,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0023056,GO:0046434,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0001706,GO:0002934,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:1904666,GO:1900118,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0001947,GO:0002709,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:1903508,GO:0042415,NA,NA,NA,NA,NA,NA,NA,NA,NA
