cluster	gene
5	ENSMUSG00000050505
5	ENSMUSG00000052572
5	ENSMUSG00000054641
5	ENSMUSG00000054659
5	ENSMUSG00000055301
5	ENSMUSG00000060012
5	ENSMUSG00000061578
5	ENSMUSG00000071281
5	ENSMUSG00000071856
5	ENSMUSG00000102697
5	ENSMUSG00000103897
5	ENSMUSG00000104063
6	ENSMUSG00000001138
6	ENSMUSG00000001151
6	ENSMUSG00000002831
6	ENSMUSG00000005952
6	ENSMUSG00000006342
6	ENSMUSG00000006576
6	ENSMUSG00000018698
6	ENSMUSG00000019907
6	ENSMUSG00000019966
6	ENSMUSG00000020930
6	ENSMUSG00000021951
6	ENSMUSG00000022263
6	ENSMUSG00000022840
6	ENSMUSG00000022997
6	ENSMUSG00000023015
6	ENSMUSG00000024049
6	ENSMUSG00000024112
6	ENSMUSG00000024827
6	ENSMUSG00000025010
6	ENSMUSG00000027716
6	ENSMUSG00000028337
6	ENSMUSG00000028373
6	ENSMUSG00000029196
6	ENSMUSG00000029314
6	ENSMUSG00000030507
6	ENSMUSG00000030669
6	ENSMUSG00000031273
6	ENSMUSG00000031297
6	ENSMUSG00000032528
6	ENSMUSG00000032850
6	ENSMUSG00000033083
6	ENSMUSG00000033276
6	ENSMUSG00000034171
6	ENSMUSG00000034310
6	ENSMUSG00000035948
6	ENSMUSG00000037820
6	ENSMUSG00000038014
6	ENSMUSG00000038244
6	ENSMUSG00000038319
6	ENSMUSG00000040260
6	ENSMUSG00000040612
6	ENSMUSG00000041741
6	ENSMUSG00000043456
6	ENSMUSG00000043463
6	ENSMUSG00000044576
6	ENSMUSG00000049699
6	ENSMUSG00000050315
6	ENSMUSG00000052296
6	ENSMUSG00000053965
6	ENSMUSG00000061322
6	ENSMUSG00000067878
6	ENSMUSG00000068747
6	ENSMUSG00000069515
6	ENSMUSG00000071661
6	ENSMUSG00000074652
6	ENSMUSG00000079020
6	ENSMUSG00000079243
6	ENSMUSG00000083405
6	ENSMUSG00000090958
6	ENSMUSG00000099032
6	ENSMUSG00000101645
6	ENSMUSG00000102440
7	ENSMUSG00000000753
7	ENSMUSG00000001131
7	ENSMUSG00000001604
7	ENSMUSG00000001865
7	ENSMUSG00000002083
7	ENSMUSG00000004473
7	ENSMUSG00000004552
7	ENSMUSG00000005583
