cluster	gene
5	ENSMUSG00000051339
5	ENSMUSG00000051910
5	ENSMUSG00000052934
5	ENSMUSG00000053469
5	ENSMUSG00000053646
5	ENSMUSG00000054203
5	ENSMUSG00000055301
5	ENSMUSG00000055980
5	ENSMUSG00000058230
5	ENSMUSG00000058325
5	ENSMUSG00000059974
5	ENSMUSG00000061175
5	ENSMUSG00000064202
5	ENSMUSG00000068299
5	ENSMUSG00000070733
5	ENSMUSG00000070738
5	ENSMUSG00000071856
5	ENSMUSG00000078185
5	ENSMUSG00000078651
5	ENSMUSG00000079056
5	ENSMUSG00000082361
5	ENSMUSG00000086022
5	ENSMUSG00000090035
5	ENSMUSG00000101439
5	ENSMUSG00000102697
5	ENSMUSG00000102752
6	ENSMUSG00000001763
6	ENSMUSG00000005952
6	ENSMUSG00000006281
6	ENSMUSG00000006342
6	ENSMUSG00000018411
6	ENSMUSG00000022048
6	ENSMUSG00000022840
6	ENSMUSG00000027536
6	ENSMUSG00000028587
6	ENSMUSG00000030098
6	ENSMUSG00000031075
6	ENSMUSG00000031274
6	ENSMUSG00000032850
6	ENSMUSG00000034171
6	ENSMUSG00000034310
6	ENSMUSG00000035845
6	ENSMUSG00000037820
6	ENSMUSG00000038244
6	ENSMUSG00000038319
6	ENSMUSG00000040612
6	ENSMUSG00000049134
6	ENSMUSG00000049699
6	ENSMUSG00000051043
6	ENSMUSG00000059408
6	ENSMUSG00000070473
6	ENSMUSG00000074364
6	ENSMUSG00000075592
6	ENSMUSG00000087679
6	ENSMUSG00000102066
7	ENSMUSG00000000538
7	ENSMUSG00000000889
7	ENSMUSG00000003435
7	ENSMUSG00000019731
7	ENSMUSG00000020357
7	ENSMUSG00000021903
7	ENSMUSG00000022469
7	ENSMUSG00000024163
7	ENSMUSG00000024228
7	ENSMUSG00000027668
7	ENSMUSG00000027678
7	ENSMUSG00000029009
7	ENSMUSG00000030739
7	ENSMUSG00000031314
7	ENSMUSG00000032373
7	ENSMUSG00000032548
7	ENSMUSG00000034832
7	ENSMUSG00000036281
7	ENSMUSG00000037816
7	ENSMUSG00000038602
7	ENSMUSG00000039501
7	ENSMUSG00000040152
7	ENSMUSG00000040170
7	ENSMUSG00000040329
7	ENSMUSG00000041229
7	ENSMUSG00000041797
7	ENSMUSG00000042453
7	ENSMUSG00000046410
7	ENSMUSG00000047098
7	ENSMUSG00000050271
7	ENSMUSG00000050505
7	ENSMUSG00000054641
7	ENSMUSG00000072653
7	ENSMUSG00000073700
7	ENSMUSG00000103749
7	ENSMUSG00000104063
8	ENSMUSG00000000247
8	ENSMUSG00000001131
8	ENSMUSG00000001493
8	ENSMUSG00000002083
8	ENSMUSG00000004473
8	ENSMUSG00000015619
8	ENSMUSG00000019761
8	ENSMUSG00000019932
8	ENSMUSG00000020541
8	ENSMUSG00000020583
8	ENSMUSG00000020814
8	ENSMUSG00000020953
8	ENSMUSG00000021367
8	ENSMUSG00000021775
8	ENSMUSG00000022479
8	ENSMUSG00000022483
8	ENSMUSG00000023013
8	ENSMUSG00000024084
8	ENSMUSG00000025140
8	ENSMUSG00000025213
8	ENSMUSG00000025511
8	ENSMUSG00000026018
8	ENSMUSG00000028860
8	ENSMUSG00000029061
8	ENSMUSG00000030225
8	ENSMUSG00000030643
8	ENSMUSG00000030659
8	ENSMUSG00000031103
8	ENSMUSG00000032278
8	ENSMUSG00000032400
8	ENSMUSG00000032845
8	ENSMUSG00000033491
8	ENSMUSG00000034161
8	ENSMUSG00000037624
8	ENSMUSG00000038550
8	ENSMUSG00000039084
8	ENSMUSG00000039232
8	ENSMUSG00000040229
8	ENSMUSG00000041012
8	ENSMUSG00000041261
8	ENSMUSG00000041649
8	ENSMUSG00000041845
8	ENSMUSG00000042340
8	ENSMUSG00000042436
8	ENSMUSG00000042988
8	ENSMUSG00000043059
8	ENSMUSG00000044006
8	ENSMUSG00000045211
8	ENSMUSG00000047281
8	ENSMUSG00000052909
8	ENSMUSG00000054196
8	ENSMUSG00000054675
8	ENSMUSG00000058427
8	ENSMUSG00000059824
8	ENSMUSG00000060548
8	ENSMUSG00000060572
8	ENSMUSG00000063727
8	ENSMUSG00000064368
8	ENSMUSG00000070972
8	ENSMUSG00000071537
8	ENSMUSG00000072553
8	ENSMUSG00000078771
9	ENSMUSG00000020402
9	ENSMUSG00000023885
9	ENSMUSG00000023915
9	ENSMUSG00000024039
9	ENSMUSG00000024924
9	ENSMUSG00000025359
9	ENSMUSG00000026435
9	ENSMUSG00000028364
9	ENSMUSG00000028989
9	ENSMUSG00000029298
9	ENSMUSG00000029816
9	ENSMUSG00000030732
9	ENSMUSG00000030748
9	ENSMUSG00000031284
9	ENSMUSG00000031431
9	ENSMUSG00000032500
9	ENSMUSG00000033715
9	ENSMUSG00000034607
9	ENSMUSG00000034825
9	ENSMUSG00000037138
9	ENSMUSG00000038332
9	ENSMUSG00000041112
9	ENSMUSG00000042594
9	ENSMUSG00000042595
9	ENSMUSG00000057722
9	ENSMUSG00000059436
9	ENSMUSG00000062980
10	ENSMUSG00000000753
10	ENSMUSG00000001604
10	ENSMUSG00000006369
10	ENSMUSG00000009646
10	ENSMUSG00000009772
10	ENSMUSG00000017754
10	ENSMUSG00000017897
10	ENSMUSG00000021062
10	ENSMUSG00000021702
10	ENSMUSG00000021994
10	ENSMUSG00000022150
10	ENSMUSG00000024011
10	ENSMUSG00000024164
10	ENSMUSG00000024529
10	ENSMUSG00000025270
10	ENSMUSG00000026090
10	ENSMUSG00000026100
10	ENSMUSG00000026430
10	ENSMUSG00000026442
10	ENSMUSG00000027015
10	ENSMUSG00000027068
10	ENSMUSG00000027966
10	ENSMUSG00000027985
10	ENSMUSG00000028780
10	ENSMUSG00000029086
10	ENSMUSG00000030862
10	ENSMUSG00000031849
10	ENSMUSG00000032017
10	ENSMUSG00000032179
10	ENSMUSG00000032925
10	ENSMUSG00000037405
10	ENSMUSG00000037443
10	ENSMUSG00000038233
10	ENSMUSG00000039321
10	ENSMUSG00000039787
10	ENSMUSG00000041559
10	ENSMUSG00000041577
10	ENSMUSG00000042401
10	ENSMUSG00000042655
10	ENSMUSG00000043557
10	ENSMUSG00000047420
10	ENSMUSG00000051351
10	ENSMUSG00000052305
10	ENSMUSG00000054162
10	ENSMUSG00000055407
10	ENSMUSG00000057469
10	ENSMUSG00000058152
10	ENSMUSG00000058569
10	ENSMUSG00000061013
10	ENSMUSG00000061397
10	ENSMUSG00000061613
10	ENSMUSG00000064080
10	ENSMUSG00000069917
10	ENSMUSG00000069919
10	ENSMUSG00000071656
10	ENSMUSG00000073940
10	ENSMUSG00000079022
10	ENSMUSG00000079355
11	ENSMUSG00000002778
11	ENSMUSG00000004945
11	ENSMUSG00000021144
11	ENSMUSG00000022033
11	ENSMUSG00000024735
11	ENSMUSG00000025229
11	ENSMUSG00000025510
11	ENSMUSG00000026241
11	ENSMUSG00000027460
11	ENSMUSG00000028736
11	ENSMUSG00000039396
11	ENSMUSG00000039982
11	ENSMUSG00000045573
11	ENSMUSG00000049892
11	ENSMUSG00000052429
11	ENSMUSG00000094483
